Date,totalPost,totalReply,totalView,newUser,avgStay
2016-1-01,76,125,4727,17,370
2016-2-01,187,547,14184,25,178
2016-3-01,79,109,4619,8,30
2016-4-01,121,279,10876,25,177
2016-5-01,58,157,13034,5,256
2016-6-01,25,26,1627,8,0
2016-7-01,31,46,2346,2,0
2016-8-01,40,43,2186,2,2
2016-9-01,33,45,2136,7,64
2016-10-01,20,18,1361,6,298
2016-11-01,18,16,2187,4,52
2016-12-01,31,44,1759,12,480
2017-1-01,44,103,5076,14,132
2017-2-01,139,212,13957,13,160
2017-3-01,74,74,8650,12,179
2017-4-01,54,57,6493,5,127
2017-5-01,42,42,3686,7,104
2017-6-01,39,57,4108,10,266
2017-7-01,47,60,4044,11,132
2017-8-01,75,135,9090,9,124
2017-9-01,49,118,5870,7,91
2017-10-01,48,115,6374,15,128
2017-11-01,48,134,4421,10,36
2017-12-01,49,130,3974,9,36
2018-1-01,286,671,26291,30,95
2018-2-01,181,325,22091,16,77
2018-3-01,129,254,12570,18,60
2018-4-01,94,324,12340,12,9
2018-5-01,156,546,17780,12,62
2018-6-01,116,404,12237,11,55
2018-7-01,226,882,21432,21,99
2018-8-01,416,1066,23206,92,46
2018-9-01,381,1053,26988,90,39
2018-10-01,392,1452,34228,47,30
2018-11-01,397,1333,32400,31,36
2018-12-01,319,848,20863,28,22
